TimeStamp, Vehicle Movement Direction, Vehicle Speed (km/h)
2020-10-21 14:47:29.907326,Meningkat,30
2020-10-21 14:47:29.907811,Meningkat,30
2020-10-21 14:47:29.907955,Meningkat,30
2020-10-21 14:47:29.908234,Meningkat,30
2020-10-21 14:47:29.908447,Meningkat,30
2020-10-21 14:47:29.908668,Meningkat,30
2020-10-21 14:47:29.908779,Meningkat,30
2020-10-21 14:47:29.909066,Meningkat,30
2020-10-21 14:47:29.909311,Meningkat,30
2020-10-21 14:47:29.909540,Meningkat,30
2020-10-21 14:47:29.909656,Meningkat,30
2020-10-21 14:47:30.734539,Meningkat,20
2020-10-21 14:47:30.734733,Meningkat,20
2020-10-21 14:47:31.392913,Menurun,267.84000000000003
2020-10-21 14:47:31.393351,Menurun,267.84000000000003
2020-10-21 14:47:31.393549,Menurun,267.84000000000003
2020-10-21 14:47:31.393647,Menurun,267.84000000000003
2020-10-21 14:47:31.393736,Menurun,267.84000000000003
2020-10-21 14:47:31.393822,Menurun,267.84000000000003
2020-10-21 14:47:31.393911,Menurun,267.84000000000003
2020-10-21 14:47:31.394002,Menurun,267.84000000000003
2020-10-21 14:47:31.394095,Menurun,267.84000000000003
2020-10-21 14:47:31.394225,Menurun,267.84000000000003
2020-10-21 14:47:31.394310,Menurun,267.84000000000003
2020-10-21 14:47:33.459363,Meningkat,20
2020-10-21 14:47:33.459585,Meningkat,20
2020-10-21 14:47:33.459692,Meningkat,20
2020-10-21 14:47:33.459788,Meningkat,20
2020-10-21 14:47:33.459875,Meningkat,20
2020-10-21 14:47:35.569699,n.a.,n.a.
2020-10-21 14:47:35.569890,n.a.,n.a.
2020-10-21 14:47:35.569966,n.a.,n.a.
2020-10-21 14:47:35.570038,n.a.,n.a.
2020-10-21 14:47:35.570105,n.a.,n.a.
2020-10-21 14:47:35.570174,n.a.,n.a.
2020-10-21 14:47:35.570240,n.a.,n.a.
2020-10-21 14:47:35.570306,n.a.,n.a.
2020-10-21 14:47:35.570371,n.a.,n.a.
2020-10-21 14:47:35.570559,n.a.,n.a.
2020-10-21 14:47:35.570638,n.a.,n.a.
2020-10-21 14:47:36.548351,Meningkat,90
2020-10-21 14:47:36.548569,Meningkat,90
2020-10-21 14:47:36.548654,Meningkat,90
2020-10-21 14:47:38.445095,Menurun,73.44
2020-10-21 14:47:38.445409,Menurun,73.44
2020-10-21 14:47:38.445540,Menurun,73.44
2020-10-21 14:47:38.445625,Menurun,73.44
2020-10-21 14:47:38.445704,Menurun,73.44
2020-10-21 14:47:38.445787,Menurun,73.44
2020-10-21 14:47:38.446012,Menurun,73.44
2020-10-21 14:47:38.446202,Menurun,73.44
2020-10-21 14:47:38.446339,Menurun,73.44
2020-10-21 14:47:38.446434,Menurun,73.44
2020-10-21 14:47:38.446521,Menurun,73.44
2020-10-21 14:47:40.350770,Meningkat,37.5
2020-10-21 14:47:40.350969,Meningkat,37.5
2020-10-21 14:47:40.351065,Meningkat,37.5
2020-10-21 14:47:40.351155,Meningkat,37.5
2020-10-21 14:47:40.351240,Meningkat,37.5
2020-10-21 14:47:40.351338,Meningkat,37.5
2020-10-21 14:47:40.351419,Meningkat,37.5
2020-10-21 14:47:40.351505,Meningkat,37.5
2020-10-21 14:47:40.351590,Meningkat,37.5
2020-10-21 14:47:41.617823,n.a.,n.a.
2020-10-21 14:47:41.618030,n.a.,n.a.
2020-10-21 14:47:41.618132,n.a.,n.a.
2020-10-21 14:47:41.618225,n.a.,n.a.
2020-10-21 14:47:41.618318,n.a.,n.a.
2020-10-21 14:47:41.618401,n.a.,n.a.
2020-10-21 14:47:41.618479,n.a.,n.a.
2020-10-21 14:47:41.618560,n.a.,n.a.
2020-10-21 14:47:41.618643,n.a.,n.a.
2020-10-21 14:47:41.618800,n.a.,n.a.
2020-10-21 14:47:41.618892,n.a.,n.a.
2020-10-21 14:47:43.077767,Meningkat,52.5
2020-10-21 14:47:43.077984,Meningkat,52.5
2020-10-21 14:47:44.572015,Menurun,48
2020-10-21 14:47:44.572222,Menurun,48
2020-10-21 14:47:44.572318,Menurun,48
